iter	Passed	Remaining
498	596	598
499	597	597
500	599	597
501	601	597
502	602	595
503	603	594
504	604	592
505	605	591
506	606	589
507	607	588
508	608	586
509	609	585
510	610	583
511	610	582
512	612	581
513	613	579
514	617	581
515	618	579
516	619	578
517	620	576
518	620	575
519	621	574
520	622	572
521	623	571
522	624	569
523	625	568
524	626	566
525	627	565
526	629	565
527	632	565
528	633	563
529	634	562
530	634	560
531	635	559
532	636	557
533	637	556
534	638	555
535	639	553
536	640	551
537	641	550
538	641	548
539	644	548
540	647	549
541	648	548
542	649	546
543	650	545
544	651	543
545	652	542
546	653	540
547	654	539
548	654	538
549	656	536
550	656	535
551	658	534
552	659	533
553	662	533
554	662	531
555	663	530
556	664	528
557	665	527
558	666	525
559	667	524
560	668	522
561	669	521
562	670	520
563	671	518
564	671	517
565	673	516
566	677	517
567	678	515
568	679	514
569	680	513
570	681	511
571	682	510
572	683	509
573	684	507
574	685	506
575	685	504
576	687	503
577	690	504
578	692	503
579	693	501
580	694	500
581	694	499
582	695	497
583	696	496
584	698	495
585	698	493
586	699	492
587	700	490
588	701	489
589	703	488
590	706	489
591	707	487
592	708	486
593	709	484
594	710	483
595	711	482
596	712	480
597	713	479
598	714	478
599	715	477
600	716	475
601	718	475
602	721	475
603	722	473
604	723	472
605	724	471
606	725	469
607	726	468
608	727	466
609	728	465
610	728	464
611	729	462
612	730	461
613	731	459
614	734	459
615	737	459
616	738	458
617	739	456
618	739	455
619	740	454
620	741	452
621	742	451
622	743	449
623	744	448
624	745	447
625	746	445
626	747	444
627	749	444
628	751	443
629	752	441
630	753	440
631	754	439
632	755	437
633	756	436
634	756	435
635	757	433
636	758	432
637	759	431
638	760	429
639	761	428
640	766	429
641	767	427
642	768	426
643	769	425
644	770	423
645	771	422
646	772	421
647	773	419
648	774	418
649	774	417
650	776	416
651	778	415
652	780	414
653	781	413
654	782	412
655	783	410
656	784	409
657	784	407
658	785	406
659	786	405
660	787	403
661	788	402
662	789	401
663	790	399
664	792	399
665	795	398
666	796	397
667	797	396
668	798	394
669	798	393
670	799	392
671	800	390
672	801	389
673	802	388
674	803	386
675	804	385
676	805	384
677	807	383
678	810	383
679	811	381
680	812	380
681	812	379
682	813	377
683	814	376
684	815	375
685	816	373
686	817	372
687	818	371
688	819	369
689	819	368
690	821	367
691	825	367
692	826	366
693	827	364
694	828	363
695	829	362
696	830	360
697	831	359
698	832	358
699	833	357
700	834	355
701	835	354
702	837	353
703	840	353
704	841	352
705	842	350
706	843	349
707	844	348
708	845	346
709	846	345
710	847	344
711	847	342
712	849	341
713	850	340
714	852	339
715	855	339
716	856	338
717	857	336
718	858	335
719	859	334
720	860	333
721	861	331
722	862	330
723	863	329
724	864	328
725	868	327
726	870	326
727	871	325
728	872	324
729	872	322
730	873	321
731	875	320
732	875	319
733	876	317
734	877	316
735	878	315
736	880	314
737	883	313
738	884	312
739	885	311
740	886	309
741	887	308
742	888	307
743	889	306
744	890	304
745	891	303
746	892	302
747	893	301
748	895	300
749	898	299
750	899	298
751	899	296
752	900	295
753	901	294
754	902	292
755	903	291
756	904	290
757	905	288
758	905	287
759	906	286
760	907	285
761	908	283
762	911	283
763	914	282
764	915	281
765	916	279
766	917	278
767	917	277
768	918	275
769	919	274
770	920	273
771	921	272
772	922	270
773	923	269
774	925	268
775	928	268
776	929	266
777	930	265
778	931	264
779	932	262
780	933	261
781	934	260
782	934	259
783	935	257
784	936	256
785	937	255
786	938	254
787	940	253
788	943	252
789	944	251
790	946	250
791	947	248
792	948	247
793	949	246
794	950	244
795	950	243
796	951	242
797	952	241
798	954	240
799	956	239
800	958	238
801	959	236
802	960	235
803	961	234
804	962	233
805	963	231
806	964	230
807	965	229
808	965	228
809	966	226
810	967	225
811	968	224
812	971	223
813	974	222
814	975	221
815	976	220
816	977	218
817	977	217
818	978	216
819	979	215
820	980	213
821	981	212
822	982	211
823	984	210
824	986	209
825	988	208
826	989	207
827	990	205
828	991	204
829	992	203
830	993	202
831	994	200
832	995	199
833	996	198
834	997	197
835	998	195
836	1001	195
837	1004	194
838	1005	192
839	1006	191
840	1006	190
841	1007	189
842	1008	187
843	1009	186
844	1010	185
845	1011	184
846	1012	182
847	1013	181
848	1015	180
849	1019	179
850	1019	178
851	1020	177
852	1022	176
853	1022	174
854	1023	173
855	1024	172
856	1025	171
857	1026	169
858	1027	168
859	1029	167
860	1031	166
861	1034	165
862	1035	164
863	1037	163
864	1037	161
865	1038	160
866	1039	159
867	1040	158
868	1041	157
869	1042	155
870	1043	154
871	1046	153
872	1048	152
873	1049	151
874	1050	150
875	1051	148
876	1052	147
877	1053	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1059	138
884	1061	137
885	1064	136
886	1065	135
887	1066	134
888	1067	133
889	1067	131
890	1068	130
891	1069	129
892	1070	128
893	1071	127
894	1073	125
895	1074	124
896	1078	123
897	1079	122
898	1080	121
899	1081	120
900	1082	118
901	1083	117
902	1084	116
903	1085	115
904	1086	114
905	1087	112
906	1088	111
907	1088	110
908	1090	109
909	1094	108
910	1095	106
911	1096	105
912	1097	104
913	1098	103
914	1099	102
915	1100	100
916	1101	99
917	1102	98
918	1103	97
919	1104	96
920	1107	94
921	1110	93
922	1112	92
923	1113	91
924	1114	90
925	1115	89
926	1116	87
927	1117	86
928	1118	85
929	1119	84
930	1123	83
931	1124	82
932	1125	80
933	1126	79
934	1127	78
935	1128	77
936	1129	75
937	1130	74
938	1131	73
939	1132	72
940	1133	71
941	1136	69
942	1139	68
943	1140	67
944	1141	66
945	1142	65
946	1143	63
947	1144	62
948	1145	61
949	1146	60
950	1147	59
951	1148	57
952	1149	56
953	1153	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1163	43
964	1165	42
965	1168	41
966	1168	39
967	1169	38
968	1171	37
969	1172	36
970	1172	35
971	1173	33
972	1174	32
973	1175	31
974	1176	30
975	1177	28
976	1179	27
977	1182	26
978	1183	25
979	1184	24
980	1185	22
981	1186	21
982	1187	20
983	1188	19
984	1189	18
985	1190	16
986	1191	15
987	1192	14
988	1193	13
989	1195	12
990	1197	10
991	1198	9
992	1199	8
993	1200	7
994	1201	6
995	1202	4
996	1203	3
997	1204	2
998	1205	1
999	1206	0
